long,lat,tipo,dist
-55.723673,-22.525155,Radar_fixo,30kmh@30
-55.723493,-22.524911,Radar_fixo,30kmh@30
-55.159615,-21.620367,Radar_fixo,30kmh@30
-55.158821,-21.620859,Radar_fixo,30kmh@30
-53.944726,-26.917232,Radar_fixo,30kmh@30
-55.802958,-20.490591,Radar_fixo,30kmh@30
-55.810624,-20.494789,Radar_fixo,30kmh@30
-55.807081,-20.487500,Radar_fixo,30kmh@30
-51.686508,-20.788578,Radar_fixo,30kmh@30
-51.687355,-20.796913,Radar_fixo,30kmh@30
-51.688074,-20.796672,Radar_fixo,30kmh@30
-44.010718,-19.797639,Radar_fixo,30kmh@30
-44.011209,-19.797570,Radar_fixo,30kmh@30
-53.367067,-29.746340,Radar_fixo,30kmh@30
-44.076617,-19.779591,Radar_fixo,30kmh@30
-47.550076,-22.395471,Radar_fixo,30kmh@30
-55.221895,-23.120273,Radar_fixo,30kmh@30
-55.221870,-23.120102,Radar_fixo,30kmh@30
-55.625616,-22.627553,Radar_fixo,30kmh@30
-46.604873,-22.472184,Radar_fixo,30kmh@30
-46.912267,-23.175970,Radar_fixo,30kmh@30
-43.806249,-20.600740,Radar_fixo,30kmh@30
-47.536564,-1.334392,Radar_fixo,30kmh@30
-49.325996,-16.619728,Radar_fixo,30kmh@30
-49.325808,-16.619284,Radar_fixo,30kmh@30
-47.221435,-22.860771,Radar_fixo,30kmh@30
-47.221440,-22.860249,Radar_fixo,30kmh@30
-45.414167,-23.809720,Radar_fixo,30kmh@30
-45.413996,-23.809748,Radar_fixo,30kmh@30
-46.518010,-23.622867,Radar_fixo,30kmh@30
-46.774833,-23.611659,Radar_fixo,30kmh@30
-46.519812,-23.439245,Radar_fixo,30kmh@30
-46.519847,-23.439196,Radar_fixo,30kmh@30
-44.131106,-19.773073,Radar_fixo,30kmh@30
-45.409244,-23.622317,Radar_fixo,30kmh@30
-45.409115,-23.622189,Radar_fixo,30kmh@30
-45.443224,-23.708998,Radar_fixo,30kmh@30
-45.443080,-23.709046,Radar_fixo,30kmh@30
-45.441410,-22.928549,Radar_fixo,30kmh@30
-45.441391,-22.928333,Radar_fixo,30kmh@30
-46.937448,-23.604274,Radar_fixo,30kmh@30
-46.937461,-23.604184,Radar_fixo,30kmh@30
-46.981613,-23.625950,Radar_fixo,40kmh@40
-49.139966,-15.326797,Radar_fixo,40kmh@40
-49.117334,-15.321976,Radar_fixo,40kmh@40
-49.117248,-15.321882,Radar_fixo,40kmh@40
-49.121226,-15.336009,Radar_fixo,40kmh@40
-49.201307,-25.525579,Radar_fixo,40kmh@40
-49.200954,-25.524235,Radar_fixo,40kmh@40
-46.340668,-23.522579,Radar_fixo,40kmh@40
-49.121870,-15.326428,Radar_fixo,40kmh@40
-49.121967,-15.326533,Radar_fixo,40kmh@40
-49.122640,-15.335997,Radar_fixo,40kmh@40
-49.130181,-15.334890,Radar_fixo,40kmh@40
-49.130287,-15.334755,Radar_fixo,40kmh@40
-49.130126,-15.330320,Radar_fixo,40kmh@40
-49.508856,-15.355039,Radar_fixo,40kmh@40
-47.337510,-23.403257,Radar_fixo,40kmh@40
-54.659536,-16.462553,Radar_fixo,40kmh@40
-57.723316,-16.037071,Radar_fixo,40kmh@40
-39.580015,-16.350036,Radar_fixo,40kmh@40
-39.586332,-16.386207,Radar_fixo,40kmh@40
-46.346613,-23.527348,Radar_fixo,40kmh@40
-45.458794,-22.949763,Radar_fixo,40kmh@40
